Review_Date,Hotel_Name,Reviewer_Nationality,Negative_Review,Positive_Review,Reviewer_Score,Total_Reviews_By_Reviewer,Tags,days_since_review
08/03/2017,Hotel Arena,Russia,I am so angry that i made this post available via all possible sites i use when planing my trips so no one will make the mistake of booking this place I made my booking via booking com We stayed for 6 nights in this hotel from 11 to 17 July Upon arrival we were placed in a small room on the 2nd floor of the hotel It turned out that this was not the room we booked I had specially reserved the 2 level duplex room so that we would have a big windows and high ceilings The room itself was ok if you don t mind the broken window that can not be closed hello rain and a mini fridge that contained some sort of a bio weapon at least i guessed so by the smell of it I intimately asked to change the room and after explaining 2 times that i booked a duplex btw it costs the same as a simple double but got way more volume due to the high ceiling was offered a room but only the next day SO i had to check out the next day before 11 o clock in order to get the room i waned to Not the best way to begin your holiday So we had to wait till 13 00 in order to check in my new room what a wonderful waist of my time The room 023 i got was just as i wanted to peaceful internal garden view big window We were tired from waiting the room so we placed our belongings and rushed to the city In the evening it turned out that there was a constant noise in the room i guess it was made by vibrating vent tubes or something it was constant and annoying as hell AND it did not stop even at 2 am making it hard to fall asleep for me and my wife I have an audio recording that i can not attach here but if you want i can send it via e mail The next day the technician came but was not able to determine the cause of the disturbing sound so i was offered to change the room once again the hotel was fully booked and they had only 1 room left the one that was smaller but seems newer,Only the park outside of the hotel was beautiful,2.9,7,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 6 nights ']",0 days
10/08/2016,K K Hotel George,United Kingdom,The bed mattress was too hard without the mattress topper on which we removed because it made us hot The mattress was orthopaedic firm,Staff were very helpful,7.9,1,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",299 day
04/05/2017,Apex Temple Court Hotel,United Kingdom,A few more little milks maybe as I drink a lot of tea but I was given a little jug of milk when I asked,The bathroom was light pleasant and very clean The wardrobe space was good and there were tea making facilities The bed was comfortable,10,2,"[' Leisure trip ', ' Couple ', ' City King Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",120 day
01/04/2017,Apex Temple Court Hotel,United Kingdom,No Negative,Large bathroom with great elemis toiletries comfortable and king size bed,9.2,4,"[' Leisure trip ', ' Solo traveler ', ' Superior King Room with Balcony ', ' Stayed 1 night ']",211 day
08/11/2015,Apex Temple Court Hotel,United Kingdom,No Negative,Excellent location for west end shows,7.9,6,"[' Leisure trip ', ' Couple ', ' City King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",723 day
05/19/2016,The Park Grand London Paddington,Netherlands,a socket for plugging your phone next to the bed,Staff was very friendly and helpful From answering question how to get to from as finding answers to specific shopping questions Nice neighborhood quiet for a big city rooms with windows and daylight great shower comfortable sturdy beds not too soft separate closet and entree,8.3,2,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 2 nights ']",441 day
01/18/2017,The Park Grand London Paddington,United Kingdom,Bathroom a little small,Comfort of the beds high ceilings and black out curtains travel phone and interior,9.6,2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",197 day
03/10/2016,The Park Grand London Paddington,United Kingdom,Walk to the room,Bed was really comfortable,8.8,1,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ']",511 day
03/10/2016,The Principal London,United Kingdom,Despite being on the 7th floor we couldn t believe how noisy our room was from the traffic in the street below Single glazed very old windows that really need replaced though a good wash would be a start Bed was NOT comfy The room was small but clean I think these rooms are for booking com customers you get what you pay for i guess,Lovely looking old building nice entrance area friendly staff good breakfast 7th floor bedroom with fabulous view Close to the tube station,6.7,9,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",511 day
08/04/2015,The Principal London,Zimbabwe,Quite disgusted to find the Bathroom full of mold in a hotel ranked as a 4 stars hotel,Very friendly staff Ideal Location in a reasonable walking distance from main touristic sites We enjoyed Free wi fi during our stay,4.6,2,"[' Leisure trip ', ' Family with older children ', ' Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",730 day
10/29/2015,The Principal London,United Kingdom,No Negative,Thoughtfulness of staff fabulous room and amazing cocktails in the Tempus Bar,9.6,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",644 day
03/17/2017,Park Plaza County Hall London,United Kingdom,When I booked I requested a room on a high floor with good view We got a room overlooking a building site The hotel said you had not forwarded this request I was very disappointed as I had booked last year Felt let down,The bed was comfy and facilities good,7.9,5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",139 day
05/10/2016,Park Plaza County Hall London,United Kingdom,The aircon wasn t working in our room on the hottest day of the year We called twice for it to be sorted and no one came or bothered to call I complained at check out and the staff didn t seem bothered Not impressed at all,No Positive,7.1,1,"[' Leisure trip ', ' Family with older children ', ' Executive Studio City View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",450 day
